"userID","stimID","timestamp","actionType","user_stimuli_actionsID","target"
"GM14100","3","2014-02-04 14:13:59","click","104","photo"
"GM14100","3","2014-02-04 14:14:22","click","105","null"
"GM14100","3","2014-02-04 14:15:14","click","106","Reageren"
"GM14100","3","2014-02-04 14:15:15","click","107","commentBox"
"GM14100","3","2014-02-04 14:15:17","comment","108","null"
"ERNL10095","3","2014-02-05 13:14:52","click","109","photo"
"ERNL10095","3","2014-02-05 13:15:53","click","110","photo"
"ERNL10095","3","2014-02-05 13:16:24","click","111","null"
"ERNL10095","3","2014-02-05 13:16:26","click","112","photo"
"ERNL10095","3","2014-02-05 13:16:34","click","113","null"
"ERNL10095","3","2014-02-05 13:16:38","click","114","null"
"ERNL10095","3","2014-02-05 13:17:02","click","115","null"
"ERNL10096","3","2014-02-05 13:23:34","click","116","null"
"ERNL10080","3","2014-02-06 08:22:22","click","117","like"
"ERNL10080","3","2014-02-06 08:22:32","click","118","Reageren"
"ERNL10080","3","2014-02-06 08:22:37","comment","119","null"
"ERNL10080","3","2014-02-06 08:22:50","click","120","photo"
"ERNL10081","3","2014-02-06 08:34:34","click","121","like"
"ERNL10079","3","2014-02-07 09:18:30","click","122","like"
"ERNL10079","3","2014-02-07 09:18:32","click","123","commentBox"
"ERNL10079","3","2014-02-07 09:18:46","click","124","commentBox"
"ERNL10079","3","2014-02-07 09:18:50","comment","125","null"
"ERNL10079","3","2014-02-07 09:18:55","click","126","photo"
"ERNL10077","3","2014-02-07 09:38:45","click","127","null"
"ERNL10077","3","2014-02-07 09:38:49","click","128","like"
"ERNL10077","3","2014-02-07 09:38:50","click","129","Reageren"
"ERNL10077","3","2014-02-07 09:38:52","click","130","share"
"ERNL10077","3","2014-02-07 09:38:53","click","131","null"
"ERNL10076","3","2014-02-07 09:49:40","click","132","photo"
"ERNL10075","3","2014-02-07 12:41:51","click","133","photo"
"ERNL10075","3","2014-02-07 12:41:55","click","134","null"
"ERNL10075","3","2014-02-07 12:41:57","click","135","null"
"ERNL10075","3","2014-02-07 12:41:58","click","136","null"
"ERNL10075","3","2014-02-07 12:41:59","click","137","null"
"ERNL10075","3","2014-02-07 12:42:35","click","138","null"
"ERNL10074","3","2014-02-07 12:52:38","click","139","null"
"ERNL10074","3","2014-02-07 12:52:39","click","140","Reageren"
"ERNL10074","3","2014-02-07 12:52:40","click","141","null"
"ERNL10073","3","2014-02-09 15:26:45","click","142","Reageren"
"ERNL10073","3","2014-02-09 15:30:23","click","143","null"
"ERNL10071","3","2014-02-09 16:04:11","click","144","like"
"ERNL10071","3","2014-02-09 16:04:12","click","145","Reageren"
"ERNL10071","3","2014-02-09 16:04:14","click","146","photo"
"ERNL10070","3","2014-02-11 11:04:01","click","147","like"
"ERNL10070","3","2014-02-11 11:06:28","click","148","null"
"CINTNL3000055","3","2014-02-12 02:07:49","click","149","Reageren"
"CINTNL3000055","3","2014-02-12 02:07:51","click","150","Reageren"
"CINTNL3000074","3","2014-02-12 02:48:54","click","151","null"
"CINTNL3000074","3","2014-02-12 02:50:10","click","152","null"
"CINTNL3000074","3","2014-02-12 02:51:03","click","153","null"
"CINTNL3000074","3","2014-02-12 02:51:06","click","154","null"
"CINTNL3000074","3","2014-02-12 02:51:21","click","155","null"
"CINTNL3000074","3","2014-02-12 02:51:47","click","156","null"
"SSINL2000524","3","2014-02-12 03:46:52","click","157","null"
"CINTNL3000126","3","2014-02-12 04:00:26","click","158","photo"
"SSINL2000558","3","2014-02-12 05:19:39","click","159","null"
"CINTNL3000203","3","2014-02-12 06:06:11","click","160","null"
"SSINL2000586","3","2014-02-12 06:32:32","click","161","null"
"SSINL2000586","3","2014-02-12 06:32:42","click","162","like"
"SSINL2000586","3","2014-02-12 06:32:45","click","163","null"
"SSINL2000586","3","2014-02-12 06:32:49","click","164","commentBox"
"SSINL2000586","3","2014-02-12 06:32:58","comment","165","null"
"SSINL2000586","3","2014-02-12 06:33:09","click","166","null"
"SSINL2000589","3","2014-02-12 06:47:46","click","167","null"
"CINTNL3000239","3","2014-02-12 07:16:33","click","168","null"
"CINTNL3000239","3","2014-02-12 07:16:34","click","169","null"
"CINTNL3000239","3","2014-02-12 07:16:46","click","170","null"
"CINTNL3000239","3","2014-02-12 07:16:48","click","171","null"
"CINTNL3000239","3","2014-02-12 07:16:49","click","172","null"
"CINTNL3000239","3","2014-02-12 07:16:49","click","173","null"
"CINTNL3000239","3","2014-02-12 07:16:50","click","174","null"
"CINTNL3000239","3","2014-02-12 07:16:51","click","175","null"
"CINTNL3000239","3","2014-02-12 07:16:51","click","176","null"
"CINTNL3000239","3","2014-02-12 07:16:51","click","177","null"
"CINTNL3000239","3","2014-02-12 07:16:52","click","178","null"
"CINTNL3000239","3","2014-02-12 07:16:53","click","179","null"
"CINTNL3000239","3","2014-02-12 07:16:53","click","180","null"
"CINTNL3000239","3","2014-02-12 07:16:54","click","181","null"
"CINTNL3000239","3","2014-02-12 07:16:59","click","182","null"
"CINTNL3000239","3","2014-02-12 07:17:18","click","183","photo"
"CINTNL3000239","3","2014-02-12 07:17:45","click","184","null"
"CINTNL3000239","3","2014-02-12 07:17:54","click","185","like"
"CINTNL3000239","3","2014-02-12 07:17:57","click","186","commentBox"
"CINTNL3000239","3","2014-02-12 07:18:07","comment","187","null"
"CINTNL3000239","3","2014-02-12 07:18:10","click","188","null"
"CINTNL3000239","3","2014-02-12 07:18:11","click","189","null"
"CINTNL3000239","3","2014-02-12 07:18:13","click","190","null"
"CINTNL3000239","3","2014-02-12 07:18:13","click","191","null"
"CINTNL3000239","3","2014-02-12 07:18:14","click","192","photo"
"CINTNL3000239","3","2014-02-12 07:18:34","click","193","null"
"CINTNL3000239","3","2014-02-12 07:18:37","click","194","null"
"CINTNL3000239","3","2014-02-12 07:18:37","click","195","null"
"CINTNL3000239","3","2014-02-12 07:18:50","click","196","null"
"CINTNL3000074","3","2014-02-12 07:30:43","click","197","null"
"CINTNL3000074","3","2014-02-12 07:30:45","click","198","null"
"CINTNL3000074","3","2014-02-12 07:30:46","click","199","null"
"CINTNL3000074","3","2014-02-12 07:30:52","click","200","null"
"SSINL2000642","3","2014-02-12 09:09:38","click","201","photo"
"SSINL2000642","3","2014-02-12 09:10:04","click","202","photo"
"SSINL2000642","3","2014-02-12 09:11:25","click","203","photo"
"SSINL2000637","3","2014-02-12 09:20:12","click","204","album"
"SSINL2000637","3","2014-02-12 09:21:00","click","205","Reageren"
"SSINL2000637","3","2014-02-12 09:21:31","click","206","Reageren"
"SSINL2000637","3","2014-02-12 09:22:06","click","207","photo"
"SSINL2000637","3","2014-02-12 09:22:14","click","208","photo"
"SSINL2000637","3","2014-02-12 09:23:49","click","209","photo"
"SSINL2000641","3","2014-02-12 09:46:10","click","210","null"
"SSINL2000641","3","2014-02-12 09:47:33","click","211","album"
"SSINL2000657","3","2014-02-12 10:17:47","click","212","photo"
"SSINL2000657","3","2014-02-12 10:18:58","click","213","null"
"SSINL2000657","3","2014-02-12 10:19:05","click","214","null"
"SSINL2000683","3","2014-02-12 11:28:04","click","215","null"
"CINTNL3000366","3","2014-02-12 11:49:36","click","216","null"
"CINTNL3000396","3","2014-02-12 11:58:41","click","217","photo"
"CINTNL3000396","3","2014-02-12 11:59:58","click","218","photo"
"CINTNL3000396","3","2014-02-12 12:01:17","click","219","null"
"CINTNL3000396","3","2014-02-12 12:01:24","click","220","null"
"SSINL2000690","3","2014-02-12 12:03:11","click","221","photo"
"SSINL2000690","3","2014-02-12 12:04:14","click","222","brand"
"SSINL2000690","3","2014-02-12 12:05:32","click","223","null"
"CINTNL3000441","3","2014-02-12 12:25:38","click","224","null"
"CINTNL3000441","3","2014-02-12 12:25:49","click","225","like"
"CINTNL3000427","3","2014-02-12 12:27:22","click","226","null"
"CINTNL3000427","3","2014-02-12 12:33:05","click","227","photo"
"CINTNL3000485","3","2014-02-12 12:35:51","click","228","null"
"CINTNL3000489","3","2014-02-12 12:38:37","click","229","album"
"CINTNL3000520","3","2014-02-12 12:55:28","click","230","photo"
"CINTNL3000597","3","2014-02-12 13:24:26","click","231","photo"
"CINTNL3000597","3","2014-02-12 13:25:23","click","232","photo"
"CINTNL3000619","3","2014-02-12 13:57:52","click","233","photo"
"CINTNL3000619","3","2014-02-12 13:58:52","click","234","photo"
"CINTNL3000671","3","2014-02-12 14:14:08","click","235","photo"
"CINTNL3000671","3","2014-02-12 14:14:25","click","236","photo"
"CINTNL3000671","3","2014-02-12 14:18:49","click","237","photo"
"CINTNL3000685","3","2014-02-12 14:24:36","click","238","like"
"CINTNL3000685","3","2014-02-12 14:24:39","click","239","null"
"CINTNL3000685","3","2014-02-12 14:24:50","click","240","like"
"CINTNL3000685","3","2014-02-12 14:24:51","click","241","null"
"CINTNL3000685","3","2014-02-12 14:25:04","click","242","like"
"CINTNL3000685","3","2014-02-12 14:25:08","click","243","null"
"CINTNL3000685","3","2014-02-12 14:25:17","click","244","photo"
"CINTNL3000685","3","2014-02-12 14:26:05","click","245","like"
"CINTNL3000685","3","2014-02-12 14:26:06","click","246","photo"
"CINTNL3000685","3","2014-02-12 14:26:23","click","247","photo"
"CINTNL3000685","3","2014-02-12 14:26:35","click","248","photo"
"CINTNL3000685","3","2014-02-12 14:27:12","click","249","photo"
"CINTNL3000685","3","2014-02-12 14:27:15","click","250","photo"
"CINTNL3000685","3","2014-02-12 14:27:25","comment","251","null"
"CINTNL3000685","3","2014-02-12 14:31:58","click","252","photo"
"CINTNL3000709","3","2014-02-12 14:37:09","click","253","photo"
"CINTNL3000610","3","2014-02-12 14:44:44","click","254","photo"
"CINTNL3000610","3","2014-02-12 14:45:15","click","255","album"
"CINTNL3000610","3","2014-02-12 14:46:03","click","256","null"
"CINTNL3000610","3","2014-02-12 14:46:07","click","257","like"
"CINTNL3000074","3","2014-02-12 15:09:41","click","258","null"
"CINTNL3000074","3","2014-02-12 15:10:21","click","259","null"
"CINTNL3000074","3","2014-02-12 15:10:31","click","260","null"
"CINTNL3000074","3","2014-02-12 15:10:31","click","261","null"
"CINTNL3000074","3","2014-02-12 15:10:39","click","262","null"
"CINTNL3000074","3","2014-02-12 15:10:39","click","263","null"
"CINTNL3000074","3","2014-02-12 15:11:01","click","264","null"
"CINTNL3000074","3","2014-02-12 15:14:26","click","265","null"
"CINTNL3000074","3","2014-02-12 15:16:15","click","266","null"
"CINTNL3000074","3","2014-02-12 15:19:03","click","267","null"
"CINTNL3000781","3","2014-02-12 16:15:37","click","268","photo"
"CINTNL3000795","3","2014-02-12 16:29:04","click","269","photo"
"CINTNL3000838","3","2014-02-12 18:03:35","click","270","album"
"CINTNL3000838","3","2014-02-12 18:04:30","click","271","album"
"CINTNL3000859","3","2014-02-12 20:26:12","click","272","photo"
"CINTNL3000859","3","2014-02-12 20:28:53","click","273","photo"
"CINTNL3000859","3","2014-02-12 20:37:17","click","274","null"
"CINTNL3000859","3","2014-02-12 20:37:19","click","275","null"
"CINTNL3000859","3","2014-02-12 20:37:21","click","276","null"
"CINTNL3000859","3","2014-02-12 20:40:08","click","277","null"
"CINTNL3000859","3","2014-02-12 20:40:23","click","278","null"
"CINTNL3000859","3","2014-02-12 20:40:31","click","279","null"
"CINTNL3000859","3","2014-02-12 20:40:35","click","280","null"
"CINTNL3000859","3","2014-02-12 20:40:38","click","281","null"
"CINTNL3000859","3","2014-02-12 20:40:38","click","282","null"
"CINTNL3000859","3","2014-02-12 20:40:40","click","283","null"
"CINTNL3000859","3","2014-02-12 20:41:01","click","284","null"
"CINTNL3000859","3","2014-02-12 20:41:06","click","285","null"
"CINTNL3000859","3","2014-02-12 20:41:10","click","286","null"
"CINTNL3000859","3","2014-02-12 20:41:20","click","287","null"
"CINTNL3000859","3","2014-02-12 20:41:21","click","288","null"
"CINTNL3000859","3","2014-02-12 20:41:21","click","289","null"
"CINTNL3000859","3","2014-02-12 20:41:31","click","290","Reageren"
"CINTNL3000859","3","2014-02-12 20:41:41","click","291","brand"
"CINTNL3000869","3","2014-02-13 01:49:33","click","292","photo"
"CINTNL3000909","3","2014-02-13 04:05:31","click","293","album"
"CINTNL3000909","3","2014-02-13 04:06:05","click","294","photo"
"CINTNL3000974","3","2014-02-13 06:59:59","click","295","photo"
"CINTNL3000974","3","2014-02-13 07:08:41","click","296","photo"
"CINTNL3001030","3","2014-02-13 10:46:45","click","297","photo"
"CINTNL3001030","3","2014-02-13 10:47:14","click","298","like"
"CINTNL3001030","3","2014-02-13 10:47:32","click","299","album"
"CINTNL3001030","3","2014-02-13 10:48:13","click","300","album"
"CINTNL3001030","3","2014-02-13 11:04:37","click","301","brand"
"CINTNL3001041","3","2014-02-13 11:25:15","click","302","album"
"CINTNL3001041","3","2014-02-13 11:26:16","click","303","album"
"CINTNL3001095","3","2014-02-13 15:04:42","click","304","null"
"CINTNL3001095","3","2014-02-13 15:04:43","click","305","null"
"CINTNL3001095","3","2014-02-13 15:06:04","click","306","photo"
"CINTNL3001199","3","2014-02-14 12:18:00","click","307","photo"
"CINTNL3001199","3","2014-02-14 12:19:33","click","308","photo"
"CINTNL3001206","3","2014-02-14 14:40:35","click","309","photo"
"CINTNL3001206","3","2014-02-14 14:41:06","click","310","null"
"CINTNL3001206","3","2014-02-14 14:41:15","click","311","null"
"CINTNL3001206","3","2014-02-14 14:41:53","click","312","photo"
"CINTNL3001274","3","2014-02-16 04:41:46","click","313","null"
"CINTNL3001274","3","2014-02-16 04:41:56","click","314","brand"
"CINTNL3001302","3","2014-02-16 16:31:15","click","315","album"
"CINTNL3001305","3","2014-02-16 19:11:05","click","316","photo"
"CINTNL3001305","3","2014-02-16 19:12:17","click","317","null"
"CINTNL3001305","3","2014-02-16 19:12:24","click","318","null"
"CINTNL3001305","3","2014-02-16 19:13:35","click","319","null"
"CINTNL3001305","3","2014-02-16 19:18:57","click","320","null"
"CINTNL3001305","3","2014-02-16 19:21:28","click","321","null"
"CINTNL3001305","3","2014-02-16 19:21:30","click","322","like"
"CINTNL3001305","3","2014-02-16 19:21:35","click","323","unlike"
"CINTNL3001305","3","2014-02-16 19:21:40","click","324","null"
"CINTNL3001305","3","2014-02-16 19:21:42","click","325","null"
"CINTNL3001305","3","2014-02-16 19:21:43","click","326","null"
"CINTNL3001305","3","2014-02-16 19:21:47","click","327","null"
"CINTNL3001305","3","2014-02-16 19:21:48","click","328","null"
"CINTNL3001305","3","2014-02-16 19:21:50","click","329","null"
"CINTNL3001305","3","2014-02-16 19:21:52","click","330","null"
"GO14194","3","2014-02-17 16:15:22","click","331","photo"
"GO14194","3","2014-02-17 16:15:47","click","332","photo"
"GO14194","3","2014-02-17 16:16:51","click","333","photo"
"CINTNL3001384","3","2014-02-18 12:15:54","click","334","null"
"CINTNL3001384","3","2014-02-18 12:15:58","click","335","null"
"CINTNL3001384","3","2014-02-18 12:15:59","click","336","null"
"CINTNL3001384","3","2014-02-18 12:16:36","click","337","null"
"CINTNL3001384","3","2014-02-18 12:16:42","click","338","null"
"CINTNL3001384","3","2014-02-18 12:17:27","click","339","album"
"CINTNL3001384","3","2014-02-18 12:18:49","click","340","album"
"CINTNL3001390","3","2014-02-18 12:32:50","click","341","null"
"CINTNL3001390","3","2014-02-18 12:32:54","click","342","null"
"CINTNL3001390","3","2014-02-18 12:32:57","click","343","null"
"CINTNL3001390","3","2014-02-18 12:33:22","click","344","null"
"CINTNL3001390","3","2014-02-18 12:33:55","click","345","share"
"CINTNL3001390","3","2014-02-18 12:35:10","click","346","null"
"CINTNL3001390","3","2014-02-18 12:36:23","click","347","photo"
"SSINL2000703","3","2014-02-18 12:58:10","click","348","photo"
"CINTNL3001459","3","2014-02-18 13:35:17","click","349","null"
"CINTNL3001459","3","2014-02-18 13:35:46","click","350","photo"
"CINTNL3001515","3","2014-02-18 14:59:05","click","351","photo"
"CINTNL3001515","3","2014-02-18 15:02:44","click","352","null"
"SSINL2000752","3","2014-02-18 16:20:46","click","353","null"
"SSINL2000752","3","2014-02-18 16:20:51","click","354","null"
"SSINL2000752","3","2014-02-18 16:20:53","click","355","null"
"SSINL2000752","3","2014-02-18 16:21:02","click","356","null"
"SSINL2000752","3","2014-02-18 16:21:34","click","357","null"
"CINTNL3001535","3","2014-02-18 17:49:38","click","358","photo"
"CINTNL3001567","3","2014-02-18 20:58:34","click","359","photo"
"CINTNL3001567","3","2014-02-18 21:01:37","click","360","photo"
"SSINL2000842","3","2014-02-19 06:59:32","click","361","null"
"mchlljy123","3","2014-02-19 11:49:53","click","362","photo"
"mchlljy123","3","2014-02-19 11:50:29","click","363","photo"
"mchlljy123","3","2014-02-19 11:53:40","click","364","photo"
"mchlljy1","3","2014-02-19 12:06:33","click","365","null"
"mchlljy2","3","2014-02-19 12:12:11","click","366","photo"
"mchlljy2","3","2014-02-19 12:12:31","click","367","photo"
"mchlljy2","3","2014-02-19 12:12:49","click","368","photo"
"mchlljy2","3","2014-02-19 12:13:42","click","369","photo"
"SSINL2000912","3","2014-02-19 12:16:01","click","370","photo"
"mchlljy3","3","2014-02-19 12:33:02","click","371","photo"
"mchlljy4","3","2014-02-19 12:48:26","click","372","photo"
"-1","3","2014-02-20 15:50:48","click","373","null"
"MITYaseminDebug","3","2014-02-20 22:42:59","click","374","null"
"MITYaseminDebug","3","2014-02-20 22:43:06","click","375","null"
"MITYaseminDebug","3","2014-02-20 22:43:07","click","376","null"
"test5","3","2014-02-20 23:48:24","click","377","photo"
"test5","3","2014-02-20 23:48:38","click","378","photo"
"ERNL10066","3","2014-02-21 02:32:25","click","379","photo"
"ERNL10064","3","2014-02-21 02:56:00","click","380","photo"
"GMNL10022","3","2014-02-22 01:20:12","click","381","like"
"GMNL10022","3","2014-02-22 01:20:24","click","382","photo"
"GMNL10025","3","2014-02-22 01:50:39","click","383","Reageren"
"GMNL10025","3","2014-02-22 01:51:17","click","384","Reageren"
"GMNL10025","3","2014-02-22 01:52:01","click","385","like"
"GMNL10025","3","2014-02-22 01:52:10","click","386","unlike"
"GMNL10026","3","2014-02-22 02:24:21","click","387","like"
"GMNL10026","3","2014-02-22 02:24:26","click","388","photo"
"GMNL10026","3","2014-02-22 02:26:21","click","389","like"
"GMNL10026","3","2014-02-22 02:26:30","click","390","photo"
"GMNL10026","3","2014-02-22 02:27:53","click","391","like"
"GMNL10026","3","2014-02-22 02:28:03","click","392","photo"
"GMNL10026","3","2014-02-22 02:29:33","click","393","album"
"GMNL10028","3","2014-02-22 02:57:47","click","394","photo"
"GMNL10029","3","2014-02-22 21:37:23","click","395","photo"
"GMNL10030","3","2014-02-22 21:52:51","click","396","photo"
"GMNL10031","3","2014-02-22 22:18:50","click","397","photo"
"GMNL10032","3","2014-02-22 22:37:01","click","398","photo"
"GMNL10033","3","2014-02-22 22:59:10","click","399","photo"
"GMNL10038","3","2014-02-23 00:18:11","click","400","photo"
"GMNL10040","3","2014-02-23 00:59:58","click","401","like"
"GMNL10040","3","2014-02-23 01:00:06","click","402","photo"
"michellej19","3","2014-02-23 13:04:54","click","403","photo"
"michellej19","3","2014-02-23 13:05:36","click","404","photo"
"michellej19","3","2014-02-23 13:05:53","click","405","null"
"michellej23","3","2014-02-23 13:25:29","click","406","null"
"michellej24","3","2014-02-23 13:28:58","click","407","null"
"mj2","3","2014-02-23 16:17:43","click","408","null"
"mj7","3","2014-02-23 17:06:11","click","409","null"
"mj7","3","2014-02-23 17:09:29","click","410","null"
"mj7","3","2014-02-23 17:09:33","click","411","photo"
"mj7","3","2014-02-23 17:09:49","click","412","null"
"mj9","3","2014-02-23 17:12:33","click","413","photo"
"mj11","3","2014-02-23 17:24:26","click","414","null"
"mj11","3","2014-02-23 17:24:36","click","415","photo"
"mj12","3","2014-02-23 17:27:21","click","416","null"
"mj13","3","2014-02-23 17:31:52","click","417","null"
"mj13","3","2014-02-23 17:31:53","click","418","photo"
"mj15","3","2014-02-23 17:40:37","click","419","null"
"mj25","3","2014-02-23 18:18:39","click","420","photo"
"mj27","3","2014-02-23 18:34:09","click","421","null"
"mj38","3","2014-02-23 18:52:51","click","422","photo"
"MIT001","3","2014-02-23 19:35:07","click","423","photo"
"mj55","3","2014-02-23 20:41:59","click","424","null"
"mj57","3","2014-02-23 21:04:41","click","425","null"
"mj62","3","2014-02-23 21:50:13","click","426","null"
"mj62","3","2014-02-23 21:50:22","click","427","photo"
"mj62","3","2014-02-23 21:54:18","click","428","photo"
"GMNL10041","3","2014-02-24 00:06:30","click","429","photo"
"GMNL10042","3","2014-02-24 00:22:32","click","430","photo"
"GMNL10043","3","2014-02-24 00:46:28","click","431","photo"
"GMNL10044","3","2014-02-24 01:11:01","click","432","photo"
"GMNL10045","3","2014-02-24 01:30:26","click","433","photo"
"GMNL10046","3","2014-02-24 01:43:05","click","434","photo"
"GMNL10047","3","2014-02-24 19:24:49","click","435","like"
"GMNL10047","3","2014-02-24 19:24:54","click","436","photo"
"GMNL10048","3","2014-02-24 19:39:29","click","437","photo"
"ERNL10040","3","2014-02-25 13:55:53","click","438","like"
"ERNL10040","3","2014-02-25 13:55:54","click","439","unlike"
"ERNL10040","3","2014-02-25 13:55:55","click","440","like"
"ERNL10040","3","2014-02-25 13:56:05","click","441","Reageren"
"ERNL10040","3","2014-02-25 13:56:09","click","442","photo"
"ERNL10040","3","2014-02-25 13:56:14","click","443","Reageren"
"ERNL10042","3","2014-02-25 14:08:24","click","444","like"
"ERNL10042","3","2014-02-25 14:08:25","click","445","null"
"ERNL10042","3","2014-02-25 14:08:26","click","446","null"
"ERNL10043","3","2014-02-25 14:15:38","click","447","like"
"ERNL10043","3","2014-02-25 14:15:38","click","448","Reageren"
